,trade_date
0,20240112
1,20240111
2,20240110
3,20240109
4,20240108
5,20240105
6,20240104
7,20240103
8,20240102
9,20231229
10,20231228
11,20231227
12,20231226
13,20231225
14,20231222
15,20231221
16,20231220
17,20231219
18,20231218
19,20231215
20,20231214
21,20231213
22,20231212
23,20231211
24,20231208
25,20231207
26,20231206
27,20231205
28,20231204
29,20231201
30,20231130
31,20231129
32,20231128
33,20231127
34,20231124
35,20231123
36,20231122
37,20231121
38,20231120
39,20231117
40,20231116
41,20231115
42,20231114
43,20231113
44,20231110
45,20231109
46,20231108
47,20231107
48,20231106
49,20231103
50,20231102
51,20231101
52,20231031
53,20231030
54,20231027
55,20231026
56,20231025
57,20231024
58,20231023
59,20231020
60,20231019
61,20231018
62,20231017
63,20231016
64,20231013
65,20231012
66,20231011
67,20231010
68,20231009
69,20230928
70,20230927
71,20230926
72,20230925
73,20230922
74,20230921
75,20230920
76,20230919
77,20230918
78,20230915
79,20230914
80,20230913
81,20230912
82,20230911
83,20230908
84,20230907
85,20230906
86,20230905
87,20230904
88,20230901
89,20230831
90,20230830
91,20230829
92,20230828
93,20230825
94,20230824
95,20230823
96,20230822
97,20230821
98,20230818
99,20230817
100,20230816
101,20230815
102,20230814
103,20230811
104,20230810
105,20230809
106,20230808
107,20230807
108,20230804
109,20230803
110,20230802
111,20230801
112,20230731
113,20230728
114,20230727
115,20230726
116,20230725
117,20230724
118,20230721
119,20230720
120,20230719
121,20230718
122,20230717
123,20230714
124,20230713
125,20230712
126,20230711
127,20230710
128,20230707
129,20230706
130,20230705
131,20230704
132,20230703
133,20230630
134,20230629
135,20230628
136,20230627
137,20230626
138,20230621
139,20230620
140,20230619
141,20230616
142,20230615
143,20230614
144,20230613
145,20230612
146,20230609
147,20230608
148,20230607
149,20230606
150,20230605
151,20230602
152,20230601
153,20230531
154,20230530
155,20230529
156,20230526
157,20230525
158,20230524
159,20230523
160,20230522
161,20230519
162,20230518
163,20230517
164,20230516
165,20230515
166,20230512
167,20230511
168,20230510
169,20230509
170,20230508
171,20230505
172,20230504
173,20230428
174,20230427
175,20230426
176,20230425
177,20230424
178,20230421
179,20230420
180,20230419
181,20230418
182,20230417
183,20230414
184,20230413
185,20230412
186,20230411
187,20230410
188,20230407
189,20230406
190,20230404
191,20230403
192,20230331
193,20230330
194,20230329
195,20230328
196,20230327
197,20230324
198,20230323
199,20230322
200,20230321
201,20230320
202,20230317
203,20230316
204,20230315
205,20230314
206,20230313
207,20230310
208,20230309
209,20230308
210,20230307
211,20230306
212,20230303
213,20230302
214,20230301
215,20230228
216,20230227
217,20230224
218,20230223
219,20230222
220,20230221
221,20230220
222,20230217
223,20230216
224,20230215
225,20230214
226,20230213
227,20230210
228,20230209
229,20230208
230,20230207
231,20230206
232,20230203
233,20230202
234,20230201
235,20230131
236,20230130
237,20230120
238,20230119
239,20230118
240,20230117
241,20230116
242,20230113
243,20230112
244,20230111
245,20230110
246,20230109
247,20230106
248,20230105
249,20230104
250,20230103
251,20221230
252,20221229
253,20221228
254,20221227
255,20221226
256,20221223
257,20221222
258,20221221
259,20221220
260,20221219
261,20221216
262,20221215
263,20221214
264,20221213
265,20221212
266,20221209
267,20221208
268,20221207
269,20221206
270,20221205
271,20221202
272,20221201
273,20221130
274,20221129
275,20221128
276,20221125
277,20221124
278,20221123
279,20221122
280,20221121
281,20221118
282,20221117
283,20221116
284,20221115
285,20221114
286,20221111
287,20221110
288,20221109
289,20221108
290,20221107
291,20221104
292,20221103
293,20221102
294,20221101
295,20221031
296,20221028
297,20221027
298,20221026
299,20221025
300,20221024
301,20221021
302,20221020
303,20221019
304,20221018
305,20221017
306,20221014
307,20221013
308,20221012
309,20221011
310,20221010
311,20220930
312,20220929
313,20220928
314,20220927
315,20220926
316,20220923
317,20220922
318,20220921
319,20220920
320,20220919
321,20220916
322,20220915
323,20220914
324,20220913
325,20220909
326,20220908
327,20220907
328,20220906
329,20220905
330,20220902
331,20220901
332,20220831
333,20220830
334,20220829
335,20220826
336,20220825
337,20220824
338,20220823
339,20220822
340,20220819
341,20220818
342,20220817
343,20220816
344,20220815
345,20220812
346,20220811
347,20220810
348,20220809
349,20220808
350,20220805
351,20220804
352,20220803
353,20220802
354,20220801
355,20220729
356,20220728
357,20220727
358,20220726
359,20220725
360,20220722
361,20220721
362,20220720
363,20220719
364,20220718
365,20220715
366,20220714
367,20220713
368,20220712
369,20220711
370,20220708
371,20220707
372,20220706
373,20220705
374,20220704
375,20220701
376,20220630
377,20220629
378,20220628
379,20220627
380,20220624
381,20220623
382,20220622
383,20220621
384,20220620
385,20220617
386,20220616
387,20220615
388,20220614
389,20220613
390,20220610
391,20220609
392,20220608
393,20220607
394,20220606
395,20220602
396,20220601
397,20220531
398,20220530
399,20220527
400,20220526
401,20220525
402,20220524
403,20220523
404,20220520
405,20220519
406,20220518
407,20220517
408,20220516
409,20220513
410,20220512
411,20220511
412,20220510
413,20220509
414,20220506
415,20220505
416,20220429
417,20220428
418,20220427
419,20220426
420,20220425
421,20220422
422,20220421
423,20220420
424,20220419
425,20220418
426,20220415
427,20220414
428,20220413
429,20220412
430,20220411
431,20220408
432,20220407
433,20220406
434,20220401
435,20220331
436,20220330
437,20220329
438,20220328
439,20220325
440,20220324
441,20220323
442,20220322
443,20220321
444,20220318
445,20220317
446,20220316
447,20220315
448,20220314
449,20220311
450,20220310
451,20220309
452,20220308
453,20220307
454,20220304
455,20220303
456,20220302
457,20220301
458,20220228
459,20220225
460,20220224
461,20220223
462,20220222
463,20220221
464,20220218
465,20220217
466,20220216
467,20220215
468,20220214
469,20220211
470,20220210
471,20220209
472,20220208
473,20220207
474,20220128
475,20220127
476,20220126
477,20220125
478,20220124
479,20220121
480,20220120
481,20220119
482,20220118
483,20220117
484,20220114
485,20220113
486,20220112
487,20220111
488,20220110
489,20220107
490,20220106
491,20220105
492,20220104
493,20211231
494,20211230
495,20211229
496,20211228
497,20211227
498,20211224
499,20211223
500,20211222
501,20211221
502,20211220
503,20211217
504,20211216
505,20211215
506,20211214
507,20211213
508,20211210
509,20211209
510,20211208
511,20211207
512,20211206
513,20211203
514,20211202
515,20211201
516,20211130
517,20211129
518,20211126
519,20211125
520,20211124
521,20211123
522,20211122
523,20211119
524,20211118
525,20211117
526,20211116
527,20211115
528,20211112
529,20211111
530,20211110
531,20211109
532,20211108
533,20211105
534,20211104
535,20211103
536,20211102
537,20211101
538,20211029
539,20211028
540,20211027
541,20211026
542,20211025
543,20211022
544,20211021
545,20211020
546,20211019
547,20211018
548,20211015
549,20211014
550,20211013
551,20211012
552,20211011
553,20211008
554,20210930
555,20210929
556,20210928
557,20210927
558,20210924
559,20210923
560,20210922
561,20210917
562,20210916
563,20210915
564,20210914
565,20210913
566,20210910
567,20210909
568,20210908
569,20210907
570,20210906
571,20210903
572,20210902
573,20210901
574,20210831
575,20210830
576,20210827
577,20210826
578,20210825
579,20210824
580,20210823
