,trade_date,sec_code,weight
0,2020-11-27,588000.SH,0
1,2020-12-02,588000.SH,1
2,2020-12-09,588000.SH,0
3,2020-12-14,588000.SH,1
4,2020-12-16,588000.SH,0
5,2020-12-17,588000.SH,1
6,2020-12-24,588000.SH,0
7,2020-12-30,588000.SH,1
8,2021-01-08,588000.SH,0
9,2021-01-11,588000.SH,1
10,2021-01-27,588000.SH,0
11,2021-02-09,588000.SH,1
12,2021-02-22,588000.SH,0
13,2021-03-22,588000.SH,1
14,2021-03-23,588000.SH,0
15,2021-03-26,588000.SH,1
16,2021-04-09,588000.SH,0
17,2021-04-16,588000.SH,1
18,2021-05-06,588000.SH,0
19,2021-05-14,588000.SH,1
20,2021-06-16,588000.SH,0
21,2021-06-17,588000.SH,1
22,2021-07-02,588000.SH,0
23,2021-07-05,588000.SH,1
24,2021-07-06,588000.SH,0
25,2021-07-07,588000.SH,1
26,2021-07-14,588000.SH,0
27,2021-07-21,588000.SH,1
28,2021-07-27,588000.SH,0
29,2021-07-29,588000.SH,1
30,2021-08-03,588000.SH,0
31,2021-08-04,588000.SH,1
32,2021-08-09,588000.SH,0
33,2021-08-10,588000.SH,1
34,2021-08-11,588000.SH,0
35,2021-08-23,588000.SH,1
36,2021-08-25,588000.SH,0
37,2021-09-10,588000.SH,1
38,2021-09-13,588000.SH,0
39,2021-09-30,588000.SH,1
40,2021-10-11,588000.SH,0
41,2021-10-15,588000.SH,1
42,2021-10-27,588000.SH,0
43,2021-10-29,588000.SH,1
44,2021-12-01,588000.SH,0
45,2021-12-10,588000.SH,1
46,2021-12-15,588000.SH,0
47,2021-12-30,588000.SH,1
48,2022-01-04,588000.SH,0
49,2022-01-17,588000.SH,1
50,2022-01-20,588000.SH,0
51,2022-02-17,588000.SH,1
52,2022-02-21,588000.SH,0
53,2022-02-23,588000.SH,1
54,2022-03-03,588000.SH,0
55,2022-03-18,588000.SH,1
56,2022-03-22,588000.SH,0
57,2022-03-23,588000.SH,1
58,2022-03-24,588000.SH,0
59,2022-04-29,588000.SH,1
60,2022-05-24,588000.SH,0
61,2022-05-31,588000.SH,1
62,2022-06-14,588000.SH,0
63,2022-06-17,588000.SH,1
64,2022-06-21,588000.SH,0
65,2022-06-23,588000.SH,1
66,2022-07-01,588000.SH,0
67,2022-07-06,588000.SH,1
68,2022-07-11,588000.SH,0
69,2022-07-20,588000.SH,1
70,2022-08-16,588000.SH,0
71,2022-09-07,588000.SH,1
72,2022-09-09,588000.SH,0
73,2022-10-14,588000.SH,1
74,2022-11-10,588000.SH,0
75,2022-11-15,588000.SH,1
76,2022-11-16,588000.SH,0
77,2022-12-12,588000.SH,1
78,2022-12-13,588000.SH,0
79,2022-12-27,588000.SH,1
80,2023-01-11,588000.SH,0
81,2023-01-16,588000.SH,1
82,2023-02-07,588000.SH,0
83,2023-02-09,588000.SH,1
84,2023-02-10,588000.SH,0
85,2023-02-13,588000.SH,1
86,2023-02-14,588000.SH,0
87,2023-03-01,588000.SH,1
88,2023-03-02,588000.SH,0
89,2023-03-03,588000.SH,1
90,2023-03-07,588000.SH,0
91,2023-03-08,588000.SH,1
92,2023-03-10,588000.SH,0
93,2023-03-13,588000.SH,1
94,2023-03-16,588000.SH,0
95,2023-03-17,588000.SH,1
96,2023-04-13,588000.SH,0
97,2023-04-14,588000.SH,1
98,2023-04-18,588000.SH,0
99,2023-04-19,588000.SH,1
100,2023-04-21,588000.SH,0
101,2023-05-18,588000.SH,1
102,2023-05-23,588000.SH,0
103,2023-05-26,588000.SH,1
104,2023-06-06,588000.SH,0
105,2023-06-13,588000.SH,1
106,2023-06-21,588000.SH,0
107,2023-07-31,588000.SH,1
108,2023-08-08,588000.SH,0
109,2023-08-29,588000.SH,1
110,2023-09-07,588000.SH,0
111,2023-09-22,588000.SH,1
112,2023-09-25,588000.SH,0
113,2023-09-27,588000.SH,1
114,2023-10-16,588000.SH,0
115,2023-10-27,588000.SH,1
116,2023-11-16,588000.SH,0
117,2023-12-08,588000.SH,1
118,2023-12-14,588000.SH,0
119,2023-12-28,588000.SH,1
120,2024-01-03,588000.SH,0
121,2024-01-25,588000.SH,1
122,2024-01-26,588000.SH,0
